u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,junction,tunnel
253100191,253100170,0,285554910,True,,,Calle 43,residential,40,140.564,"LINESTRING (-57.9656716 -34.9182509, -57.9667043 -34.9191895)",,
253100192,253099870,0,23409158,True,,,Diagonal 76,residential,40,87.166,"LINESTRING (-57.9674318 -34.9203148, -57.9674847 -34.9210975)",,
253100192,253100177,0,285554807,True,,,Calle 18,residential,40,34.559,"LINESTRING (-57.9674318 -34.9203148, -57.9677129 -34.9201063)",,
253100197,253099509,0,285554664,True,3,055-10,Boulevard 82,primary,60,67.956,"LINESTRING (-57.9898704 -34.9223741, -57.9898268 -34.921764)",,
253100198,221488282,0,244420493,True,,,Avenida 44,secondary,60,139.917,"LINESTRING (-57.9798698 -34.9331853, -57.9788432 -34.9322499)",,
253100198,2009738000,0,285554550,True,3,055-10,Avenida 31,primary,60,9.489,"LINESTRING (-57.9798698 -34.9331853, -57.9799502 -34.9331311)",,
253100199,253099503,0,285554549,True,3,055-10,Avenida 31,primary,60,46.857,"LINESTRING (-57.9875202 -34.9274709, -57.9878631 -34.927157)",,
253100199,253100209,0,23376145,True,,,,primary_link,40,85.423,"LINESTRING (-57.9875202 -34.9274709, -57.9877016 -34.9274489, -57.9878801 -34.9274885, -57.9880097 -34.9275978, -57.9880608 -34.927749, -57.9880156 -34.9279015)",,
253100200,253100204,0,23376144,True,,,,primary_link,40,95.45,"LINESTRING (-57.9864279 -34.9291082, -57.9863465 -34.9291298, -57.986255 -34.9291473, -57.9861686 -34.9291544, -57.9860897 -34.9291389, -57.9860115 -34.9291097, -57.9859484 -34.9290702, -57.9859188 -34.9290247, -57.9858992 -34.9289771, -57.9858871 -34.9289336, -57.9858826 -34.928886, -57.9858958 -34.9288246, -57.985914 -34.9287631, -57.9859335 -34.9287171, -57.9859705 -34.9286546)",,
253100200,199812067,0,285554534,True,3,055-10,Avenida 31,primary,60,44.175,"LINESTRING (-57.9864279 -34.9291082, -57.9861379 -34.9293267, -57.9860711 -34.929377)",,
253100204,253099855,0,285554553,True,3,055-10,Avenida 31,primary,60,86.676,"LINESTRING (-57.9859705 -34.9286546, -57.9865634 -34.9282087, -57.9866698 -34.9281265)",,
253100209,2719409520,0,20632770,True,3,055-10,Avenida 31,primary,60,93.49600000000001,"LINESTRING (-57.9880156 -34.9279015, -57.9874061 -34.9283917, -57.987281 -34.9284882)",,
253123968,253398174,0,305935300,True,,,Calle 45,residential,40,139.586,"LINESTRING (-57.9787462 -34.9340179, -57.9777223 -34.9330845)",,
253123968,253100198,0,272586203,True,3,055-10,Avenida 31,primary,60,138.084,"LINESTRING (-57.9787462 -34.9340179, -57.9796013 -34.933375, -57.9796596 -34.933331, -57.9798698 -34.9331853)",,
253123969,253123968,0,272586203,True,3,055-10,Avenida 31,primary,60,127.669,"LINESTRING (-57.9777 -34.9347812, -57.9787462 -34.9340179)",,
253123978,253398110,0,23102942,True,,,Calle 47,residential,40,140.153,"LINESTRING (-57.9767316 -34.9355249, -57.9757053 -34.9345864)",,
253123978,253123969,0,272586203,True,3,055-10,Avenida 31,primary,60,120.961,"LINESTRING (-57.9767316 -34.9355249, -57.977579 -34.9348725, -57.977621 -34.9348408, -57.9777 -34.9347812)",,
253123979,253123978,0,272586203,True,3,055-10,Avenida 31,primary,60,105.304,"LINESTRING (-57.9758711 -34.9361567, -57.9766753 -34.9355684, -57.9767316 -34.9355249)",,
253123980,253397947,0,23102944,True,,,Calle 49,residential,40,141.307,"LINESTRING (-57.9750973 -34.9367558, -57.9740587 -34.9358124)",,
253123980,3993957975,0,272586202,True,3,055-10,Avenida 31,primary,60,10.008,"LINESTRING (-57.9750973 -34.9367558, -57.9751763 -34.9366933)",,
253123981,253123980,0,272586202,True,3,055-10,Avenida 31,primary,60,89.032,"LINESTRING (-57.9743746 -34.9372944, -57.9750973 -34.9367558)",,
